location,date,variant,num_sequences,perc_sequences,num_sequences_total
Angola,7/6/20,Alpha,0,0,3
Angola,7/6/20,B.1.1.277,0,0,3
Angola,7/6/20,B.1.1.302,0,0,3
Angola,7/6/20,B.1.1.519,0,0,3
Angola,7/6/20,B.1.160,0,0,3
Angola,7/6/20,B.1.177,0,0,3
Angola,7/6/20,B.1.221,0,0,3
Angola,7/6/20,B.1.258,0,0,3
Angola,7/6/20,B.1.367,0,0,3
Angola,7/6/20,B.1.620,0,0,3
Angola,7/6/20,Beta,0,0,3
Angola,7/6/20,Delta,0,0,3
Angola,7/6/20,Epsilon,0,0,3
Angola,7/6/20,Eta,0,0,3
Angola,7/6/20,Gamma,0,0,3
Angola,7/6/20,Iota,0,0,3
Angola,7/6/20,Kappa,0,0,3
Angola,7/6/20,Lambda,0,0,3
Angola,7/6/20,Mu,0,0,3
Angola,7/6/20,Omicron,0,0,3
Angola,7/6/20,S:677H.Robin1,0,0,3
Angola,7/6/20,S:677P.Pelican,0,0,3
Angola,7/6/20,others,3,100,3
Angola,7/6/20,non_who,3,100,3
Angola,8/31/20,Alpha,0,0,1
Angola,8/31/20,B.1.1.277,0,0,1
Angola,8/31/20,B.1.1.302,0,0,1
Angola,8/31/20,B.1.1.519,0,0,1
Angola,8/31/20,B.1.160,0,0,1
Angola,8/31/20,B.1.177,0,0,1
Angola,8/31/20,B.1.221,0,0,1
Angola,8/31/20,B.1.258,0,0,1
Angola,8/31/20,B.1.367,0,0,1
Angola,8/31/20,B.1.620,0,0,1
Angola,8/31/20,Beta,1,100,1
Angola,8/31/20,Delta,0,0,1
Angola,8/31/20,Epsilon,0,0,1
Angola,8/31/20,Eta,0,0,1
Angola,8/31/20,Gamma,0,0,1
Angola,8/31/20,Iota,0,0,1
Angola,8/31/20,Kappa,0,0,1
Angola,8/31/20,Lambda,0,0,1
Angola,8/31/20,Mu,0,0,1
Angola,8/31/20,Omicron,0,0,1
Angola,8/31/20,S:677H.Robin1,0,0,1
Angola,8/31/20,S:677P.Pelican,0,0,1
Angola,8/31/20,others,0,0,1
Angola,8/31/20,non_who,0,0,1
Angola,9/28/20,Alpha,0,0,10
Angola,9/28/20,B.1.1.277,0,0,10
Angola,9/28/20,B.1.1.302,0,0,10
Angola,9/28/20,B.1.1.519,0,0,10
Angola,9/28/20,B.1.160,0,0,10
Angola,9/28/20,B.1.177,0,0,10
Angola,9/28/20,B.1.221,0,0,10
Angola,9/28/20,B.1.258,0,0,10
Angola,9/28/20,B.1.367,0,0,10
Angola,9/28/20,B.1.620,0,0,10
Angola,9/28/20,Beta,9,90,10
Angola,9/28/20,Delta,0,0,10
Angola,9/28/20,Epsilon,0,0,10
Angola,9/28/20,Eta,0,0,10
Angola,9/28/20,Gamma,0,0,10
Angola,9/28/20,Iota,0,0,10
Angola,9/28/20,Kappa,0,0,10
Angola,9/28/20,Lambda,0,0,10
Angola,9/28/20,Mu,0,0,10
Angola,9/28/20,Omicron,0,0,10
Angola,9/28/20,S:677H.Robin1,0,0,10
Angola,9/28/20,S:677P.Pelican,0,0,10
Angola,9/28/20,others,1,10,10
Angola,9/28/20,non_who,1,10,10
Angola,10/12/20,Alpha,0,0,29
Angola,10/12/20,B.1.1.277,0,0,29
Angola,10/12/20,B.1.1.302,0,0,29
Angola,10/12/20,B.1.1.519,0,0,29
Angola,10/12/20,B.1.160,0,0,29
Angola,10/12/20,B.1.177,0,0,29
Angola,10/12/20,B.1.221,0,0,29
Angola,10/12/20,B.1.258,0,0,29
Angola,10/12/20,B.1.367,0,0,29
Angola,10/12/20,B.1.620,0,0,29
Angola,10/12/20,Beta,24,82.76,29
Angola,10/12/20,Delta,0,0,29
Angola,10/12/20,Epsilon,0,0,29
Angola,10/12/20,Eta,0,0,29
Angola,10/12/20,Gamma,0,0,29
Angola,10/12/20,Iota,0,0,29
Angola,10/12/20,Kappa,0,0,29
Angola,10/12/20,Lambda,0,0,29
Angola,10/12/20,Mu,0,0,29
Angola,10/12/20,Omicron,0,0,29
Angola,10/12/20,S:677H.Robin1,0,0,29
Angola,10/12/20,S:677P.Pelican,0,0,29
Angola,10/12/20,others,5,17.24,29
Angola,10/12/20,non_who,5,17.24,29
Angola,10/26/20,Alpha,0,0,7
Angola,10/26/20,B.1.1.277,0,0,7
Angola,10/26/20,B.1.1.302,0,0,7
Angola,10/26/20,B.1.1.519,0,0,7
Angola,10/26/20,B.1.160,0,0,7
Angola,10/26/20,B.1.177,0,0,7
Angola,10/26/20,B.1.221,0,0,7
Angola,10/26/20,B.1.258,0,0,7
Angola,10/26/20,B.1.367,0,0,7
Angola,10/26/20,B.1.620,0,0,7
Angola,10/26/20,Beta,7,100,7
